t_s,x_m,x_dot_ms,duty,trial_id,voltage_v
0.95,0.15634921238753002,0.16995637819127662,120,1,8.0
1.000001,0.16482758556140548,0.17062966994671952,120,1,8.0
1.049999,0.17330595873528093,0.16950130279735898,120,1,8.0
1.1,0.18178433190915638,0.169385637112283,120,1,8.0
1.149999,0.19026270508303184,0.16957897718791748,120,1,8.0
1.2,0.1987410782569073,0.16959847266468495,120,1,8.0
1.250001,0.20721945143078274,0.16956342436154861,120,1,8.0
1.300002,0.2156978246046582,0.16955840572126227,120,1,8.0
1.350003,0.2244432331540888,0.17112840157818948,120,1,8.0
1.400002,0.23285484748407545,0.17230440221440402,120,1,8.0
1.450004,0.2413332206579509,0.17008020248215602,120,1,8.0
1.500003,0.24987835267571515,0.1690949712746249,120,1,8.0
1.550004,0.25849024353736816,0.17104277555467626,120,1,8.0
1.600003,0.2670353755551324,0.17199570031784897,120,1,8.0
1.650005,0.2753802310412303,0.17009591523536577,120,1,8.0
1.700002,0.2838586042151057,0.16797720626789941,120,1,8.0
1.750003,0.29247049507675876,0.16947911073778435,120,1,8.0
1.800003,0.30081535056285663,0.17062327002833602,120,1,8.0
0.0,-0.0022030418483298423,-0.0258102214433149,160,2,8.0
0.050002,0.005741260574435346,0.035843807840408776,160,2,8.0
0.099997,0.016622952128306993,0.16124716599774871,160,2,8.0
0.149997,0.028372508652732817,0.2367108600648439,160,2,8.0
0.199997,0.03985502980160351,0.24100153276804928,160,2,8.0
0.249998,0.05120403326269664,0.22921986507489614,160,2,8.0
0.299998,0.06275331325545612,0.22652616012042018,160,2,8.0
0.349997,0.07443611093599316,0.23089726272601258,160,2,8.0
0.399997,0.0861189086165302,0.23410113263668905,160,2,8.0
0.449997,0.09773494745317846,0.23374053273428586,160,2,8.0
0.499997,0.10928422744593794,0.23201556201102044,160,2,8.0
0.549999,0.12096702512647498,0.23168294157255256,160,2,8.0
0.599996,0.13258306396312322,0.23276110925386306,160,2,8.0
0.650006,0.14393206742421635,0.23124770824057755,160,2,8.0
0.699997,0.15541458857308704,0.22832373557088312,160,2,8.0
0.75,0.16703062740973532,0.22938356510438307,160,2,8.0
0.799997,0.1784463897147172,0.23105975353421945,160,2,8.0
0.850002,0.19019594623914304,0.23125797266667855,160,2,8.0
0.899998,0.20154494970023618,0.2313599698898533,160,2,8.0
0.949997,0.21302747084910686,0.2293793141178688,160,2,8.0
0.999996,0.22457675084186635,0.22897438669981163,160,2,8.0
1.049997,0.23612603083462583,0.23087249742322796,160,2,8.0
1.099997,0.2476753108273853,0.23133021279537858,160,2,8.0
1.149999,0.25935810850792235,0.2317837142809828,160,2,8.0
1.199996,0.2709741473445706,0.23287969191156482,160,2,8.0
1.249999,0.2825234273373301,0.2324127741976077,160,2,8.0
1.299998,0.29400594848620076,0.23065692341003396,160,2,8.0
1.349997,0.305621987322849,0.23034955969507537,160,2,8.0
0.0,-0.002136283004441059,-0.025028093520790204,200,3,8.0
0.050001,0.0077440258910988395,0.047508927086882306,200,3,8.0
0.099998,0.021496347732188156,0.20061004779239627,200,3,8.0
0.15,0.03618329338772044,0.29688440654550197,200,3,8.0
0.199997,0.05066996251158637,0.30307265453853577,200,3,8.0
0.249998,0.06529014932322987,0.2904648339607288,200,3,8.0
0.300003,0.08011061266653972,0.2909560314514079,200,3,8.0
0.350003,0.09473079947818322,0.29506362125422436,200,3,8.0
0.399998,0.1094177451337155,0.2942163391704606,200,3,8.0
0.450001,0.12423820847702535,0.2939155437253841,200,3,8.0
0.499998,0.13885839528866883,0.29483435554030313,200,3,8.0
0.549997,0.15354534094420114,0.29371502632256113,200,3,8.0
0.599997,0.16816552775584462,0.2927764749988245,200,3,8.0
0.649997,0.18271895572359934,0.29218052985675746,200,3,8.0
0.699996,0.1972056248474653,0.2907767810379732,200,3,8.0
0.749997,0.21175905281521998,0.29009669279373057,200,3,8.0
0.800003,0.2263792396268635,0.2911071625888838,200,3,8.0
0.850004,0.24079914990684065,0.2912124370621327,200,3,8.0
0.899997,0.2555528544062617,0.2910602519925455,200,3,8.0
0.95,0.2703065589056828,0.29379797867189106,200,3,8.0
0.999996,0.2848599868734375,0.29459701191487037,200,3,8.0
1.05,0.29927989715341463,0.29099134294434387,200,3,8.0
1.099996,0.31376656627728056,0.28850842263139764,200,3,8.0
0.0,-0.0022030418483298423,-0.0258102214433149,-80,4,8.0
0.050005,-0.006008295949990479,-0.03297933459528907,-80,4,8.0
0.100001,-0.010948450397760429,-0.0690893352403419,-80,4,8.0
0.149996,-0.016022122533307943,-0.10423563748640065,-80,4,8.0
0.199997,-0.021095794668855458,-0.10625483525128933,-80,4,8.0
0.249995,-0.026369743336069323,-0.10217536908636676,-80,4,8.0
0.299997,-0.03157693315939441,-0.10378217738437139,-80,4,8.0
0.349995,-0.036917640670497055,-0.10565472078407401,-80,4,8.0
0.399996,-0.04205807164993335,-0.10537924364011285,-80,4,8.0
0.450002,-0.047265261473258435,-0.10388115338602268,-80,4,8.0
0.5,-0.05247245129658352,-0.10353488294321454,-80,4,8.0
0.550004,-0.05754612343213103,-0.10340322212832227,-80,4,8.0
0.600013,-0.06261979556767855,-0.10189253031945336,-80,4,8.0
0.650003,-0.06769346770322607,-0.10113492647,-80,4,8.0
0.699996,-0.0727003809948848,-0.10102082996901969,-80,4,8.0
0.749997,-0.07770729428654352,-0.10037147878057966,-80,4,8.0
0.799998,-0.08264744873431348,-0.09959840887474838,-80,4,8.0
0.849996,-0.08765436202597221,-0.09931594722289563,-80,4,8.0
0.899998,-0.09266127531763094,-0.09984004724587672,-80,4,8.0
0.950009,-0.09773494745317846,-0.10066230412743338,-80,4,8.0
1.000009,-0.10280861958872597,-0.10134834307406643,-80,4,8.0
1.050005,-0.1078822917242735,-0.10160857076334799,-80,4,8.0
1.100002,-0.11315624039148735,-0.10267470238902142,-80,4,8.0
1.149996,-0.11843018905870122,-0.10497915806835126,-80,4,8.0
1.199997,-0.12377089656980386,-0.10635926907548143,-80,4,8.0
1.249995,-0.12897808639312894,-0.10595953790717498,-80,4,8.0
1.299997,-0.1343855527481204,-0.10571961004832862,-80,4,8.0
1.349996,-0.13959274257144547,-0.10617788130372187,-80,4,8.0
1.399997,-0.14473317355088175,-0.10465531672584534,-80,4,8.0
1.449996,-0.14994036337420685,-0.103012992983962,-80,4,8.0
1.499996,-0.15501403550975434,-0.10288309309832899,-80,4,8.0
1.55,-0.16022122533307945,-0.10277083820564463,-80,4,8.0
1.599998,-0.16542841515640452,-0.10357400236632082,-80,4,8.0
1.649997,-0.1705688461358408,-0.10398932665995063,-80,4,8.0
1.699996,-0.17584279480305468,-0.10385337664262703,-80,4,8.0
1.749995,-0.180983225782491,-0.10417240273243528,-80,4,8.0
1.799997,-0.18612365676192727,-0.103412373907287,-80,4,8.0
1.849997,-0.1911973288974748,-0.10218211278343056,-80,4,8.0
1.899994,-0.1963377598769111,-0.10192324293369553,-80,4,8.0
1.949996,-0.20134467316856983,-0.10174464703650246,-80,4,8.0
1.999995,-0.20648510414800614,-0.10139645247756379,-80,4,8.0
2.050005,-0.21162553512744242,-0.1022034990772313,-80,4,8.0
2.100002,-0.21669920726298994,-0.10264980873717901,-80,4,8.0
