t_s,theta_rad,theta_dot_rads
4.950002,-0.054977871437821374,0.6698114358792137
4.999999,-0.015707963267948963,0.7427371531757787
5.049992,0.023561944901923447,0.7899102587814925
5.099994,0.06021385919380436,0.7774488883591907
5.149993,0.09686577348568529,0.738637976141197
5.199993,0.1282817000215832,0.6947456665450636
5.249994,0.15446163880149816,0.6093910414671904
5.299992,0.17278759594743862,0.4788974389926261
5.349993,0.18325957145940458,0.3248521842327143
5.399993,0.18587756533739608,0.16320894135776112
5.450001,0.18325957145940458,0.020944797429544092
5.499999,0.17016960206944712,-0.12001568078249032
5.549992,0.15184364492350666,-0.27965709491096535
5.599993,0.1256637061435917,-0.4241757574236706
5.649992,0.09424777960769379,-0.5501267942326039
5.699995,0.06021385919380436,-0.6480021836934998
5.749993,0.020943951023931952,-0.7184061165580158
5.799993,-0.018325957145940458,-0.7783028713038537
5.849992,-0.054977871437821374,-0.7815638281015416
5.899993,-0.09162978572970229,-0.740612448562965
5.950001,-0.12304571226560022,-0.6940073889495045
5.999999,-0.14922565104551516,-0.6089940361403927
6.049993,-0.17016960206944712,-0.4943609475840356
6.099993,-0.18325957145940458,-0.3709608629822448
6.149992,-0.19111355309337907,-0.23724766749633608
6.199993,-0.18849555921538758,-0.0897123881620784
6.249993,-0.17802358370342158,0.08671101235100852
6.299992,-0.16231562043547262,0.24542981417295126
6.349994,-0.1387536755335492,0.3685184942061367
6.399992,-0.10733774899765125,0.509981030999279
6.450001,-0.07330382858376183,0.642192116767085
6.499999,-0.036651914291880916,0.7099101856631583
6.549993,0.0,0.7332985704975291
6.599994,0.039269908169872414,0.752395871349058
6.649992,0.07592182246175333,0.7636862145856514
6.699994,0.10733774899765125,0.7143838470725518
6.749994,0.1361356816555577,0.6204223334389933
6.799993,0.15707963267948966,0.5215324045205446
6.849994,0.17278759594743862,0.39963961290765165
6.899993,0.18064157758141308,0.26324359567978484
6.950001,0.18064157758141308,0.11546252793608472
6.999999,0.1754055898254301,-0.029829566255059968
7.049993,0.15969762655748113,-0.1731823361373277
7.099993,0.1387536755335492,-0.33229382455301515
7.149993,0.10995574287564275,-0.47638104916372015
7.199993,0.07853981633974483,-0.5870965814979936
7.249994,0.041887902047863905,-0.6697195348428151
7.299992,0.005235987755982988,-0.7274023142098562
7.349993,-0.03141592653589793,-0.7439059577413792
7.399992,-0.06806784082777885,-0.734006603680326
7.450002,-0.10210176124166827,-0.7158009343950069
7.5,-0.1335176877775662,-0.6714597458384958
7.549992,-0.15707963267948966,-0.5826333110700929
7.599993,-0.17278759594743862,-0.43693518889280686
7.649992,-0.18325957145940458,-0.2834512576044942
7.699994,-0.18587756533739608,-0.1550714566839579
7.749992,-0.18064157758141308,-0.012710022598665702
7.799994,-0.16755160819145562,0.14929260783719728
7.849993,-0.14922565104551516,0.29355906158223527
7.899994,-0.12304571226560022,0.4191238778069176
7.950002,-0.09162978572970229,0.5476990673736031
7.999999,-0.05759586531581287,0.6488223330203747
8.049992,-0.020943951023931952,0.7035134774473892
8.099993,0.015707963267948963,0.732216660333077
8.149992,0.05235987755982988,0.7381289812431227
8.199992,0.08639379797371931,0.717848343680918
8.249993,0.11780972450961723,0.670822885637831
8.299993,0.14137166941154067,0.5822781863788167
8.349994,0.15969762655748113,0.4523267732217835
8.399992,0.17278759594743862,0.3294999362017068
8.450001,0.17802358370342158,0.21377160247370067
8.499999,0.1754055898254301,0.0661451042216977
8.549992,0.16493361431346412,-0.098035547641363
8.599994,0.14660765716752366,-0.2567374399398722
8.649994,0.12304571226560022,-0.39725081334534573
8.699993,0.09424777960769379,-0.5080401755367902
8.749994,0.06283185307179585,-0.5912849015691869
8.799992,0.02617993877991494,-0.6642927522459593
8.849994,-0.010471975511965976,-0.7266894792597762
8.899993,-0.047123889803846894,-0.7448294080707252
8.949998,-0.08115781021773631,-0.7187746566561894
8.999995,-0.11257373675363425,-0.6696478106599905
9.049992,-0.1387536755335492,-0.5974705809325407
9.099994,-0.15969762655748113,-0.498562673236613
9.149993,-0.17278759594743862,-0.37290421767807713
9.199994,-0.18064157758141308,-0.23651104240629
9.249993,-0.18064157758141308,-0.10471316137096505
9.299994,-0.17278759594743862,0.04057873885862307
9.349993,-0.15707963267948966,0.20199635810971475
9.399993,-0.1361356816555577,0.34576540305542874
9.450002,-0.10995574287564275,0.45606484777757095
9.499999,-0.07853981633974483,0.5540664784191933
9.549993,-0.041887902047863905,0.6578899286224965
9.599993,-0.005235987755982988,0.733130627887086
9.650014,0.03141592653589793,0.7458630355875913
9.699993,0.06544984694978735,0.717587450329372
9.750012,0.09686577348568529,0.6695028124166461
9.799993,0.1256637061435917,0.613014288685942
9.849993,0.14660765716752366,0.5292984082398055
9.899994,0.16231562043547262,0.4009690674088322
9.950002,0.17278759594743862,0.2772328457537392
9.999999,0.17278759594743862,0.14588407836282538
